Time,Velocity,Acceleration,Battery,EnergyConsumption,Solar,Cumulative Distance
0,0.0,,100.0,,,0.0
200,25.0,0.125,-35759.06610324457,43.43287451495467,-1095451.0365796066,2.5
400,25.0,0.0,-71676.63974938603,72.97353015226213,-1097208.9013594696,7.5
600,25.0,0.0,-107647.35587365438,72.97353015226213,-1098832.4040662453,12.5
800,25.0,0.0,-143666.8026118481,72.97353015226213,-1100321.1243216668,17.5
1000,25.0,0.0,-179730.5557865483,72.97353015226213,-1101674.685956938,22.5
1200,25.0,0.0,-215834.18033249897,72.97353015226213,-1102892.7563486416,27.5
1400,25.0,0.0,-251973.2317025082,72.97353015226213,-1103975.045823628,32.5
1600,25.0,0.0,-288143.2572559737,72.97353015226213,-1104921.3071282185,37.5
1800,25.0,0.0,-324356.3484801671,77.14982661483751,-1106232.7870724942,42.5
2000,25.0,0.0,-360607.4559837393,77.14982661483751,-1107394.1844075166,47.5
2200,25.0,0.0,-396892.1951600821,77.14982661483751,-1108421.6320106562,52.5
2400,25.0,0.0,-433206.14325782383,77.14982661483751,-1109313.964559395,57.5
2600,25.0,0.0,-469544.84089812817,77.14982661483751,-1110070.0630846862,62.5
2800,25.0,0.0,-505903.79358726507,77.14982661483751,-1110688.8548265165,67.5
3000,25.0,0.0,-542278.4732264667,77.14982661483751,-1111169.313150993,72.5
3200,25.0,0.0,-578664.3196210164,77.14982661483751,-1111510.457526881,77.5
3400,25.0,0.0,-615029.5301393317,69.93003313637901,-1110887.2513013948,82.5
3600,25.0,0.0,-651375.6476302443,69.93003313637901,-1110303.9593142415,87.5
3800,25.0,0.0,-687698.1654499107,69.93003313637901,-1109582.9893576738,92.5
4000,25.0,0.0,-723992.5942483081,69.93003313637901,-1108724.8697579058,97.5
4200,25.0,0.0,-760254.463325696,69.93003313637901,-1107730.1702810642,102.5
4400,25.0,0.0,-796479.3219971533,69.93003313637901,-1106599.5023798875,107.5
4600,25.0,0.0,-832662.7409670975,69.93003313637901,-1105333.5194986572,112.5
4800,25.0,0.0,-868800.313715834,69.93003313637901,-1103932.9174407627,117.5
5000,25.0,0.0,-904897.42831616,78.74804046524517,-1102688.1029994886,122.5
5200,25.0,0.0,-940963.0974838751,78.74804046524517,-1101727.4450332357,127.5
5400,25.0,0.0,-976992.5531654698,78.74804046524517,-1100621.1230322532,132.5
5600,25.0,0.0,-1012981.0051941149,78.74804046524517,-1099368.4614346384,137.5
5800,25.0,0.0,-1048923.643065762,78.74804046524517,-1097968.8389383557,142.5
6000,25.0,0.0,-1084815.6377386302,78.74804046524517,-1096421.6892156545,147.5
6200,25.0,0.0,-1120652.1434578153,78.74804046524517,-1094726.5016806407,152.5
6400,25.0,0.0,-1156428.2996068588,78.74804046524517,-1092882.8223128093,157.5
6600,25.0,0.0,-1192139.232588197,78.74804046524517,-1090890.2545394225,162.5
6800,25.0,0.0,-1227738.1709088779,76.97855515149081,-1087470.5871416468,167.5
7000,25.0,0.0,-1263251.5376042202,76.97855515149081,-1084856.373987556,172.5
7200,25.0,0.0,-1298674.7559473799,76.97855515149081,-1082102.3418283742,177.5
7400,25.0,0.0,-1334003.2638067126,76.97855515149081,-1079208.9365474693,182.5
7600,25.0,0.0,-1369232.5154776343,76.97855515149081,-1076176.6599915072,187.5
7800,25.0,0.0,-1404357.9835632755,76.97855515149081,-1073006.071461188,192.5
8000,25.0,0.0,-1439375.1609076513,76.97855515149081,-1069697.789315529,197.5
8200,25.0,0.0,-1474279.5625854405,76.97855515149081,-1066252.4927013023,202.5
8400,25.0,0.0,-1509012.692516182,67.55399502616723,-1061029.5653891338,207.5
8600,25.0,0.0,-1543611.393641533,67.55399502616723,-1056922.7653844415,212.5
8800,25.0,0.0,-1578071.943658094,67.55399502616723,-1052702.2490109021,217.5
9000,25.0,0.0,-1612390.6852240642,67.55399502616723,-1048370.0008453637,222.5
9200,25.0,0.0,-1646564.0284776306,67.55399502616723,-1043928.082401436,227.5
9400,25.0,0.0,-1680588.4536771332,67.55399502616723,-1039378.6358497695,232.5
9600,25.0,0.0,-1714460.5139743364,67.55399502616723,-1034723.8880845355,237.5
9800,25.0,0.0,-1748176.8383335772,67.55399502616723,-1029966.1551797865,242.5
10000,25.0,0.0,-1781703.7928415777,72.8828548788361,-1024175.5773645312,247.5
10200,25.0,0.0,-1815074.462335419,72.8828548788361,-1019401.0701819763,252.5
10400,25.0,0.0,-1848285.0698189905,72.8828548788361,-1014511.1757682326,257.5
10600,25.0,0.0,-1881331.8997406827,72.8828548788361,-1009507.771252809,262.5
10800,25.0,0.0,-1914211.3015133652,72.8828548788361,-1004392.8413005797,267.5
11000,25.0,0.0,-1946919.6932385692,72.8828548788361,-999168.4843501111,272.5
11200,25.0,0.0,-1979453.5656547046,72.8828548788361,-993836.9194580577,277.5
11400,25.0,0.0,-2011809.4863315723,72.8828548788361,-988400.4938234265,282.5
11600,25.0,0.0,-2043984.1041359275,72.8828548788361,-982861.6910681817,287.5
11800,25.0,0.0,-2075918.951024516,67.76763342910387,-975541.8048129369,292.5
12000,25.0,0.0,-2107661.3007287458,67.76763342910387,-969661.015830794,297.5
12200,25.0,0.0,-2139209.3035710794,67.76763342910387,-963723.7191998642,302.5
12400,25.0,0.0,-2170561.261005035,67.76763342910387,-957734.5319739097,307.5
12600,25.0,0.0,-2201715.6335811038,67.76763342910387,-951698.3145654642,312.5
12800,25.0,0.0,-2232671.049619753,67.76763342910387,-945620.1923473207,317.5
13000,25.0,0.0,-2263426.3146755826,67.76763342910387,-939505.5798221657,322.5
13200,26.0,0.005,-2292124.4223237475,72.87021443807552,-876524.4260842983,327.6
13400,26.0,0.0,-2320540.4783596294,86.96994757911588,-868023.5419486145,332.8
13600,26.0,0.0,-2348740.4883410595,86.96994757911588,-861423.3349851235,338.0
13800,26.0,0.0,-2376723.908135945,86.96994757911588,-854806.5047861728,343.2
14000,26.0,0.0,-2404490.5281070713,86.96994757911588,-848183.2701703137,348.4
14200,26.0,0.0,-2432040.5061772475,86.96994757911588,-841564.8600963097,353.6
14400,26.0,0.0,-2459374.405264609,86.96994757911588,-834963.6471713231,358.8
14600,26.0,0.0,-2486493.235829066,86.96994757911588,-828393.3037965739,364.0
14800,26.0,0.0,-2513398.504420304,86.96994757911588,-821868.9855147568,369.2
15000,25.0,-0.005,-2540038.9003197835,74.01226090138739,-813790.0824682037,374.3
15200,25.0,0.0,-2566495.6027309382,72.4455274719246,-808179.8131333016,379.3
15400,25.0,0.0,-2592775.6675239718,72.4455274719246,-802783.5338996907,384.3
15600,25.0,0.0,-2618887.1400558823,72.4455274719246,-797633.0403224005,389.3
15800,25.0,0.0,-2644839.2452164516,72.4455274719246,-792764.3671279463,394.3
16000,25.0,0.0,-2670642.5512535986,72.4455274719246,-788218.5539073544,399.3
16200,25.0,0.0,-2696309.1642603353,72.4455274719246,-784042.5818283227,404.3
16400,25.0,0.0,-2721852.9604204446,72.4455274719246,-780290.5271638791,409.3
16600,26.0,0.005,-2747244.196868232,76.80272301042449,-775625.4707569075,414.4
16800,26.0,0.0,-2772535.8285362725,78.38625294682838,-772580.96120567,419.6
17000,26.0,0.0,-2797747.4550771764,78.38625294682838,-770136.8045716892,424.8
17200,25.0,-0.005,-2822901.73720103,73.11938967709115,-768390.1994940508,429.9
17400,25.0,0.0,-2848025.411895422,71.65515089146147,-767456.6067627697,434.9
17600,25.0,0.0,-2873149.6651371163,71.65515089146147,-767474.2813828763,439.9
17800,25.0,0.0,-2898311.116680043,71.65515089146147,-768610.6894855165,444.9
18000,25.0,0.0,-2923553.0795379863,71.65515089146147,-771070.3101592785,449.9
18200,25.0,0.0,-2948907.594410227,84.61752617094244,-774495.8118207903,454.9
18400,25.0,0.0,-2974430.119830517,84.61752617094244,-779628.5340636676,459.9
18600,25.0,0.0,-3000191.257757539,84.61752617094244,-786918.1461443653,464.9
18800,25.0,0.0,-3026277.3283174587,84.61752617094244,-796844.8380793667,469.9
19000,25.0,0.0,-3052795.030204818,84.61752617094244,-810031.1751326765,474.9
19200,25.0,0.0,-3079877.919887647,84.61752617094244,-827297.6622842541,479.9
19400,25.0,0.0,-3107695.608327908,84.61752617094244,-849745.7643237987,484.9
19600,25.0,0.0,-3136467.123629595,84.61752617094244,-878885.174940359,489.9
19800,25.0,0.0,-3166480.8479507607,84.61752617094244,-916834.6604854411,494.9
20000,25.0,0.0,-3198401.062534726,69.69448420507247,-975092.861055924,499.9
20200,25.0,0.0,-3232660.7864930285,69.69448420507247,-1046564.8724419388,504.9
20400,25.0,0.0,-3270096.1315752147,69.69448420507247,-1143580.0977765827,509.9
20600,25.0,0.0,-3311956.00353087,69.69448420507247,-1278749.393761086,514.9
20800,25.0,0.0,-3360197.709533499,69.69448420507247,-1473714.423896105,519.9
21000,25.0,0.0,-3418077.335380101,69.69448420507247,-1768152.875129475,524.9
21200,25.0,0.0,-3491437.2046632627,69.69448420507247,-2241074.3121164,529.9
21400,26.0,0.005,-3591847.133206077,74.78967189736655,-3067448.527311071,535.0
21600,26.0,0.0,-3751140.9559623017,79.26602541356014,-4866347.019177272,540.2
21800,26.0,0.0,-4042504.5332401227,79.26602541356014,-8901078.01981198,545.4
22000,26.0,0.0,-4744647.274124165,79.26602541356014,-21450381.467982095,550.6
22200,26.0,0.0,-7474104.411107682,79.26602541356014,-83384836.26882103,555.8
22400,26.0,0.0,-34500360.23748393,79.26602541356014,-825652036.229769,561.0
22600,26.0,0.0,-2563332713.817145,79.26602541356014,-77255828322.59262,566.2
22800,26.0,0.0,-996855909165890.2,79.26602541356014,-3.0453869715203464e+16,571.4
23000,26.0,0.0,-1.6084158231987422e+183,79.26602541356014,-4.913710339872158e+184,576.6
23200,25.0,-0.005,-1.6084158231987422e+183,78.89980757886552,100926.45271521498,581.7
23400,25.0,0.0,-1.6084158231987422e+183,77.31619273890018,48750.0106030291,586.7
23600,25.0,0.0,-1.6084158231987422e+183,77.31619273890018,50790.49286336125,591.7
23800,25.0,0.0,-1.6084158231987422e+183,77.31619273890018,56551.95087560497,596.7
24000,25.0,0.0,-1.6084158231987422e+183,77.31619273890018,62749.130993818435,601.7
24200,25.0,0.0,-1.6084158231987422e+183,77.31619273890018,69339.07755366707,606.7
24400,25.0,0.0,-1.6084158231987422e+183,77.31619273890018,76283.21244214781,611.7
24600,25.0,0.0,-1.6084158231987422e+183,77.31619273890018,83546.71064360523,616.7
24800,25.0,0.0,-1.6084158231987422e+183,66.86065986105542,89634.7386805803,621.7
25000,25.0,0.0,-1.6084158231987422e+183,66.86065986105542,96836.87461771701,626.7
25200,25.0,0.0,-1.6084158231987422e+183,66.86065986105542,104222.87722608872,631.7
25400,25.0,0.0,-1.6084158231987422e+183,66.86065986105542,111770.06005284902,636.7
25600,25.0,0.0,-1.6084158231987422e+183,66.86065986105542,119457.8671356925,641.7
25800,25.0,0.0,-1.6084158231987422e+183,66.86065986105542,127267.61456723939,646.7
26000,25.0,0.0,-1.6084158231987422e+183,66.86065986105542,135182.26830863324,651.7
26200,25.0,0.0,-1.6084158231987422e+183,66.86065986105542,143186.25216707168,656.7
26400,25.0,0.0,-1.6084158231987422e+183,66.37109055974244,150298.7359786519,661.7
26600,25.0,0.0,-1.6084158231987422e+183,66.37109055974244,158341.97297452117,666.7
26800,25.0,0.0,-1.6084158231987422e+183,66.37109055974244,166431.40445295983,671.7
27000,25.0,0.0,-1.6084158231987422e+183,66.37109055974244,174555.8881249857,676.7
27200,25.0,0.0,-1.6084158231987422e+183,66.37109055974244,182705.09621661523,681.7
27400,25.0,0.0,-1.6084158231987422e+183,66.37109055974244,190869.43020843866,686.7
27600,25.0,0.0,-1.6084158231987422e+183,66.37109055974244,199039.94601410505,691.7
27800,25.0,0.0,-1.6084158231987422e+183,66.37109055974244,207208.2882058357,696.7
28000,25.0,0.0,-1.6084158231987422e+183,66.37109055974244,215366.63210596394,701.7
28200,25.0,0.0,-1.6084158231987422e+183,71.04368485137901,222643.48597382833,706.7
28400,25.0,0.0,-1.6084158231987422e+183,71.04368485137901,231186.9863276943,711.7
28600,25.0,0.0,-1.6084158231987422e+183,71.04368485137901,239719.11315577728,716.7
28800,0.0,-0.125,-1.6084158231987422e+183,0.0,248181.11397297497,719.2
28800,0.0,,-1.6084158231987422e+183,,,719.2
29000,25.0,0.125,-1.6084158231987422e+183,43.43287451495467,-1095920.325042238,721.7
29200,25.0,0.0,-1.6084158231987422e+183,72.97353015226213,-1097671.2720814727,726.7
29400,25.0,0.0,-1.6084158231987422e+183,72.97353015226213,-1099287.5803241879,731.7
29600,25.0,0.0,-1.6084158231987422e+183,72.97353015226213,-1100768.8320226015,736.7
29800,25.0,0.0,-1.6084158231987422e+183,72.97353015226213,-1102114.6536701175,741.7
30000,25.0,0.0,-1.6084158231987422e+183,72.97353015226213,-1103324.715338859,746.7
30200,25.0,0.0,-1.6084158231987422e+183,72.97353015226213,-1104398.730087283,751.7
30400,25.0,0.0,-1.6084158231987422e+183,72.97353015226213,-1105336.4534327106,756.7
30600,25.0,0.0,-1.6084158231987422e+183,77.14982661483751,-1106616.9458673766,761.7
30800,25.0,0.0,-1.6084158231987422e+183,77.14982661483751,-1107769.4306228596,766.7
31000,25.0,0.0,-1.6084158231987422e+183,77.14982661483751,-1108787.6626146396,771.7
31200,25.0,0.0,-1.6084158231987422e+183,77.14982661483751,-1109670.4777357222,776.7
31400,25.0,0.0,-1.6084158231987422e+183,77.14982661483751,-1110416.7583028977,781.7
31600,25.0,0.0,-1.6084158231987422e+183,77.14982661483751,-1111025.4329155828,786.7
31800,25.0,0.0,-1.6084158231987422e+183,77.14982661483751,-1111495.47637668,791.7
32000,25.0,0.0,-1.6084158231987422e+183,77.14982661483751,-1111825.9096728074,796.7
32200,25.0,0.0,-1.6084158231987422e+183,69.93003313637901,-1111167.0892941523,801.7
32400,25.0,0.0,-1.6084158231987422e+183,69.93003313637901,-1110572.59303058,806.7
32600,25.0,0.0,-1.6084158231987422e+183,69.93003313637901,-1109840.2026474304,811.7
32800,25.0,0.0,-1.6084158231987422e+183,69.93003313637901,-1108970.4505252764,816.7
33000,25.0,0.0,-1.6084158231987422e+183,69.93003313637901,-1107963.910577687,821.7
33200,25.0,0.0,-1.6084158231987422e+183,69.93003313637901,-1106821.1985033238,826.7
33400,25.0,0.0,-1.6084158231987422e+183,69.93003313637901,-1105542.9720974308,831.7
33600,25.0,0.0,-1.6084158231987422e+183,69.93003313637901,-1104129.9316256684,836.7
33800,25.0,0.0,-1.6084158231987422e+183,78.74804046524517,-1102849.9945734239,841.7
34000,25.0,0.0,-1.6084158231987422e+183,78.74804046524517,-1101875.876168163,846.7
34200,25.0,0.0,-1.6084158231987422e+183,78.74804046524517,-1100755.8116709148,851.7
34400,25.0,0.0,-1.6084158231987422e+183,78.74804046524517,-1099489.1280584673,856.7
34600,25.0,0.0,-1.6084158231987422e+183,78.74804046524517,-1098075.2067267995,861.7
34800,25.0,0.0,-1.6084158231987422e+183,78.74804046524517,-1096513.4842114418,866.7
35000,25.0,0.0,-1.6084158231987422e+183,78.74804046524517,-1094803.452962963,871.7
35200,25.0,0.0,-1.6084158231987422e+183,78.74804046524517,-1092944.662179011,876.7
35400,25.0,0.0,-1.6084158231987422e+183,78.74804046524517,-1090936.7186934913,881.7
35600,25.0,0.0,-1.6084158231987422e+183,76.97855515149081,-1087483.022112305,886.7
35800,25.0,0.0,-1.6084158231987422e+183,76.97855515149081,-1084853.3371454843,891.7
36000,25.0,0.0,-1.6084158231987422e+183,76.97855515149081,-1082083.6306867294,896.7
36200,25.0,0.0,-1.6084158231987422e+183,76.97855515149081,-1079174.3538137623,901.7
36400,25.0,0.0,-1.6084158231987422e+183,76.97855515149081,-1076126.013819353,906.7
36600,25.0,0.0,-1.6084158231987422e+183,76.97855515149081,-1072939.1757180288,911.7
36800,25.0,0.0,-1.6084158231987422e+183,76.97855515149081,-1069614.4638701698,916.7
37000,25.0,0.0,-1.6084158231987422e+183,76.97855515149081,-1066152.5637277442,921.7
37200,25.0,0.0,-1.6084158231987422e+183,67.55399502616723,-1060893.6248199833,926.7
37400,25.0,0.0,-1.6084158231987422e+183,67.55399502616723,-1056771.0263085756,931.7
37600,25.0,0.0,-1.6084158231987422e+183,67.55399502616723,-1052534.6522785763,936.7
37800,25.0,0.0,-1.6084158231987422e+183,67.55399502616723,-1048186.4975990371,941.7
38000,25.0,0.0,-1.6084158231987422e+183,67.55399502616723,-1043728.6346196603,946.7
38200,25.0,0.0,-1.6084158231987422e+183,67.55399502616723,-1039163.2169376855,951.7
38400,25.0,0.0,-1.6084158231987422e+183,67.55399502616723,-1034492.4835172239,956.7
38600,25.0,0.0,-1.6084158231987422e+183,67.55399502616723,-1029718.763204147,961.7
38800,25.0,0.0,-1.6084158231987422e+183,72.8828548788361,-1023886.7653554848,966.7
39000,25.0,0.0,-1.6084158231987422e+183,72.8828548788361,-1019095.134355644,971.7
